source,target,interaction,evidence,confidence,source_name_unicode,source_name_ascii,target_name_unicode,target_name_ascii
Q699236,Q3482287,teacher_of,infobox:students | infobox:teacher | text_pattern:learned_from,medium,Higaonna Kanryō,Higaonna Kanryo,Shinpan Gusukuma,Shinpan Gusukuma
Q699236,Q68481,teacher_of,text_context:student_keyword,low,Higaonna Kanryō,Higaonna Kanryo,Fuzhou,Fuzhou
Q699236,Q328615,teacher_of,text_context:student_keyword,low,Higaonna Kanryō,Higaonna Kanryo,Okinawa,Okinawa
Q3194253,Q7446770,teacher_of,wikidata:P802,high,Katsuya Miyahira,Katsuya Miyahira,Seikichi Iha,Seikichi Iha
Q373498,Q3194253,teacher_of,text_context:teacher_keyword,low,dan,dan,Katsuya Miyahira,Katsuya Miyahira
Q384558,Q1737900,teacher_of,infobox:students | infobox:teacher | text_pattern:learned_from | wikidata:P1066 | wikidata:P802,high,Masatoshi Nakayama,Masatoshi Nakayama,Keigo Abe,Keigo Abe
Q384558,Q716133,teacher_of,infobox:students | infobox:teacher | wikidata:P1066 | wikidata:P802,high,Masatoshi Nakayama,Masatoshi Nakayama,Keinosuke Enoeda,Keinosuke Enoeda
Q1360025,Q716133,teacher_of,infobox:students | infobox:teacher | text_pattern:taught | wikidata:P1066 | wikidata:P802,high,Taiji Kase,Taiji Kase,Keinosuke Enoeda,Keinosuke Enoeda
Q716133,Q5228927,teacher_of,infobox:students | wikidata:P802,high,Keinosuke Enoeda,Keinosuke Enoeda,Dave Hazard,Dave Hazard
Q716133,Q5668035,teacher_of,wikidata:P802,high,Keinosuke Enoeda,Keinosuke Enoeda,Harry Cook,Harry Cook
Q716133,Q7151260,teacher_of,wikidata:P802,high,Keinosuke Enoeda,Keinosuke Enoeda,Paul Herbert,Paul Herbert
Q716133,Q5485463,teacher_of,infobox:students,medium,Keinosuke Enoeda,Keinosuke Enoeda,Frank Brennan,Frank Brennan
Q716133,Q527659,teacher_of,infobox:students,medium,Keinosuke Enoeda,Keinosuke Enoeda,Andy Sherry,Andy Sherry
Q716133,Q29043185,teacher_of,infobox:students,medium,Keinosuke Enoeda,Keinosuke Enoeda,Norman Robinson,Norman Robinson
Q453505,Q727360,teacher_of,infobox:students | infobox:teacher | wikidata:P1066 | wikidata:P802,high,Kenwa Mabuni,Kenwa Mabuni,Mabuni Kenei,Mabuni Kenei
