inherited,branch_reach,id,name,native,born,died,style,family,reach,direct,prominent,breadth,generations,teachers,teacher_styles,honours
,11,C00034,Eizo Shimabukuro,島袋永三,1925,2017,,shuri-te,11,11,1,5,1,8,33,Hanshi 10th dan — Okinawa Karate News register (2018)
,11,C00098,Joen Nakazato,仲里常延,1922,2010,,shuri-te,11,9,2,5,2,1,9,Hanshi 10th dan — Okinawa Karate News register (2018)
,11,C00236,Kensei Kinjo,金城兼盛,1900,,,other,11,2,2,6,2,4,26,
,11,C00440,Ryusho Sakagami,坂上隆祥,1915,1993,,japanese,11,6,3,12,2,6,18,
,11,Q356335,Choi Hong-hi,최홍희,1918,2002,,korean,11,11,4,8,1,1,9,
,11,Q653633,Ed Parker,,1931,1990,,kenpo,11,8,1,18,2,1,5,
,11,Q919033,Hideyuki Ashihara,芦原英幸,1944,1995,,kyokushin,11,3,1,8,3,5,15,
yes,0,R0213,Yoshida Kotaro,吉田幸太郎,,,,other,11,1,1,4,3,0,0,
yes,0,A0072,Nobutake Shingake,,,,,other,10,1,1,5,3,0,0,
yes,0,A0213,Sokishi Shinzato,,,,,shuri-te,10,1,1,5,2,0,0,
yes,0,J0133,Takamasa Tomoyose,友寄隆正,,,,japanese,10,1,1,9,3,1,9,
,10,J0178,Choi Yong-sool,최용술,1899,1986,,other,10,8,3,4,2,2,1,
,10,Q16006586,Kanki Izumigawa,泉川寛喜,1908,1967,,naha-te,10,9,1,8,2,3,11,
,10,W0002,Hiroshi Kinjo,金城裕,1919,2013,,japanese,10,3,1,11,4,6,17,
,9,A0020,Shian Toma,當真嗣安,1929,2013,,shuri-te,9,9,2,5,1,5,12,
,9,C00066,Fusei Kise,喜瀬富盛,1935,,,shuri-te,9,8,1,5,2,5,13,Hanshi 10th dan — Okinawa Karate News register (2018)
,9,Q3959901,Shogo Kuniba,国場将豪,1935,1992,,japanese,9,5,2,5,2,8,25,
,8,A0152,Yun Kwae-byung,윤쾌병 (尹快炳),1922,2000,,korean,8,4,0,9,3,3,17,
yes,0,A0167,Motokuni Sugiura,杉浦初久二,1924,2015,,japanese,8,1,1,5,2,2,11,
,8,C00515,Shintaro Yoshizato,,1913,,,other,8,8,0,0,1,1,1,
,8,Q124766,Hidetaka Nishiyama,西山英峻,1928,2008,,japanese,8,4,2,6,2,4,13,
,8,Q1937662,Minoru Mochizuki,望月稔,1907,2003,,japanese,8,2,1,10,3,3,19,
,8,Q2636225,Kazuyoshi Ishii,石井和義,1953,,,kyokushin,8,4,1,5,2,2,14,
,8,Q2915906,Teruyuki Okazaki,岡崎照幸,1931,2020,,japanese,8,4,1,8,2,2,12,
,8,Q97666381,Tatsuo Suzuki,鈴木達夫,1928,2011,,japanese,8,6,0,10,2,1,10,
,7,A0003,Nam Tae-hi,남태희 (南太熙),1929,2013,,korean,7,3,1,9,3,1,8,
yes,0,A0116,Kijun Kishimoto,岸本喜順,,,,te,7,1,1,6,4,0,0,
yes,0,B0028,Kanzo Nakandakari,,,,,other,7,1,1,6,4,0,0,
yes,0,B0031,Shingo Araki,,,,,other,7,1,1,6,4,0,0,
yes,0,C00366,Miinshiin Higa,,,,,other,7,1,1,6,4,1,5,
,7,C00518,Shinyei Kyan,喜屋武眞榮,1912,1997,,kobudo,7,3,2,10,2,2,7,
,7,C00672,Zenpo Shimabukuro,島袋善保,1943,,,shuri-te,7,7,0,1,1,2,7,Hanshi 10th dan — Okinawa Karate News register (2018)
,7,J0189,Hiroo Mochizuki,望月拡雄,1936,,,other,7,3,1,10,2,1,5,
,7,Q11365653,Hideo Nakamura,中村日出夫,1913,2013,,kyokushin,7,2,1,4,3,0,0,
,7,Q15987564,Masaaki Ueki,植木政明,1939,2024,,japanese,7,7,0,3,1,2,7,
,6,A0079,Shigeru Kimura,木村茂,1941,1995,,japanese,6,6,0,3,1,1,3,
,6,A0138,Masanobu Shinjo,,1938,1993,,naha-te,6,6,4,3,1,2,8,
,6,A0155,Chun Sang-sup,전상섭,1921,,,korean,6,4,1,5,3,1,9,
yes,0,A0221,Uhugushiku,,,,,kobudo,6,1,1,3,2,0,0,
yes,0,A0222,Wakinaguri,,,,,kenpo,6,1,1,3,2,0,0,
yes,0,C00064,Seiryo Shinjo,新城清良,1908,1976,,uechi-ryu,6,1,1,6,2,1,9,
yes,0,C00427,Ranho Maezato,真栄里蘭芳,1838,1904,,other,6,1,0,1,3,2,4,
,6,C00494,Seitoku Higa,比嘉清徳,1921,2006,,te,6,4,1,6,3,11,23,Hanshi 10th dan — Okinawa Karate News register (2018)
,6,Q11486455,Tsuyoshi Hiroshige,廣重毅,1947,2018,,kyokushin,6,6,2,7,1,1,9,
,6,Q598665,Takayuki Kubota,窪田孝行,1934,2024,,japanese,6,3,1,13,2,0,0,
,6,R0143,Masatoshi Yamada,山田雅稔,1953,,,kyokushin,6,4,1,5,2,1,9,
yes,0,A0002,Werner Schenker,,,,,kyokushin,5,1,1,4,2,0,0,
,5,A0008,Seiyu Shinjo,新城清優,1929,1981,,uechi-ryu,5,5,4,6,1,3,9,
,5,A0019,Seiyu Oyata,親田清勇,1928,2012,,shuri-te,5,5,0,2,1,4,8,Hanshi 10th dan — Okinawa Karate News register (2018)
,5,A0026,Yoshimi Inoue,井上慶身,1946,2015,,japanese,5,5,0,8,1,1,3,
,5,C00245,Kenyu Chinen,知念賢祐,1944,2024,,kobudo,5,5,0,0,1,4,17,
yes,0,C00263,Saikyo Kojo,湖城再鏡,1873,1941,,te,5,1,1,1,2,1,2,
,5,C00363,Matsutaro Ire,,1879,1971,,other,5,5,0,0,1,1,1,
yes,0,C00542,Shuren Kojo,湖城秀蓮,1883,1945,,te,5,1,1,1,2,2,2,
,5,J0051,Tesshin Hamada,濱田鉄心,,,,japanese,5,5,0,3,1,0,0,
