node_id,name,name_native,name_romaji,birth_year,death_year,trained_from_est,locality,styles,primary_style,connected,generation,legendary,added_by_research,wikipedia_url
A0178,Han Cha-kyo,한차교,,1934,1996,,,taekwondo|korean-martial-arts|itf-taekwondo|chung-do-kwan,taekwondo,yes,15,,yes,https://en.wikipedia.org/wiki/Han_Cha-kyo
A0179,Rhee Ki-ha,이기하,,1938,,,,taekwondo|korean-martial-arts|itf-taekwondo,taekwondo,yes,12,,yes,https://en.wikipedia.org/wiki/Rhee_Ki-ha
A0180,Park Jong-soo,박종수,,1941,2021,,,taekwondo|korean-martial-arts|itf-taekwondo,taekwondo,yes,12,,yes,https://en.wikipedia.org/wiki/Park_Jong-soo_(taekwondo)
A0181,Park Jung-tae,박정태,,1943,2002,,,taekwondo|korean-martial-arts|itf-taekwondo|gtf,taekwondo,yes,12,,yes,https://en.wikipedia.org/wiki/Park_Jung-tae
A0182,Choi Chang-keun,최창근,,1940,,,,taekwondo|korean-martial-arts|itf-taekwondo,taekwondo,yes,12,,yes,https://en.wikipedia.org/wiki/Choi_Chang-keun
A0183,Kong Young-il,공영일,,1943,,,,taekwondo|korean-martial-arts|itf-taekwondo,taekwondo,yes,14,,yes,https://en.wikipedia.org/wiki/Kong_Young-il
A0184,Fang Zhong,方種,,,,,,chinese-martial-arts,chinese-martial-arts,yes,0,,yes,https://zh.wikipedia.org/wiki/永春白鶴拳
A0185,Fang Qiniang,方七娘,,,,,,fujian-white-crane,fujian-white-crane,yes,1,,yes,https://zh.wikipedia.org/wiki/方七娘
A0186,Zeng Si,曾四,,,,,,fujian-white-crane,fujian-white-crane,yes,2,,yes,https://zh.wikipedia.org/wiki/方七娘
A0187,Zheng Li,鄭禮,,,,,,fujian-white-crane,fujian-white-crane,yes,3,,yes,https://zh.wikipedia.org/wiki/永春白鶴拳
A0188,Lin Shixian,林世咸,,,,,,fujian-white-crane,fujian-white-crane,yes,4,,yes,https://zh.wikipedia.org/zh-hant/鳴鶴拳
A0189,Pan Yuba (Lin Dachong),林達崇,,,,,,fujian-white-crane,fujian-white-crane,yes,5,,yes,https://zh.wikipedia.org/zh-hant/鳴鶴拳
A0190,Zheng Bugong,鄭步恭,,,,,,kung-fu|chinese-martial-arts,kung-fu,yes,0,,yes,https://zh.wikipedia.org/zh-hans/虎尊拳
A0191,Arata Kinjo,金城新,,1991,,,,,,yes,12,,yes,https://ja.wikipedia.org/wiki/%E9%87%91%E5%9F%8E%E6%96%B0
A0192,Takuya Uemura,上村拓也,,1992,,,,,,yes,12,,yes,https://ja.wikipedia.org/wiki/%E4%B8%8A%E6%9D%91%E6%8B%93%E4%B9%9F
A0193,Masao Kagawa,香川政夫,,1955,,,,shotokan|asai-ryu,shotokan,yes,15,,yes,https://ja.wikipedia.org/wiki/%E9%A6%99%E5%B7%9D%E6%94%BF%E5%A4%AB
